timestamp,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,average_distance,ocupada
2025-12-16 18:30:00,264.4,173.1,2.2,25.0,75.45454545454545,25.1955555555556,25.550000000000026,7.462707059136752,1
2025-12-16 18:40:00,270.5,166.6,2.25,25.0,68.35714285714286,25.27769230769233,25.771538461538498,7.48326038492137,1
2025-12-16 18:50:00,269.1,171.95,2.55,25.0,77.8,25.266470588235315,25.72647058823533,7.451986877109092,1
2025-12-16 19:00:00,260.0,160.95,2.1,25.1,72.4,25.09000000000003,25.55000000000002,7.469078590129984,1
2025-12-16 19:10:00,271.2,161.15,2.05,25.0,80.9,25.15333333333337,25.772222222222258,7.463734725425983,1
2025-12-16 19:20:00,260.0,158.15,2.05,25.0,74.8,25.05600000000004,25.40200000000003,7.468050923840753,1
2025-12-16 19:30:00,271.75,154.75,2.05,25.0,83.45454545454545,25.15461538461542,25.78230769230772,7.455448489872817,1
2025-12-16 19:40:00,257.6,161.95,2.1,24.3,75.9,25.012000000000025,25.11700000000003,7.490713669903266,0
2025-12-16 19:50:00,266.95,159.0,2.0,25.0,84.0909090909091,25.20285714285717,26.07142857142861,7.467845390582907,1
2025-12-16 20:00:00,267.05,151.7,2.05,25.27272727272728,82.54545454545455,25.2758823529412,25.86647058823532,7.447292064798289,1
2025-12-16 20:10:00,262.25,152.25,2.0,25.07692307692308,74.61538461538461,25.15823529411768,25.26294117647061,7.457568727690598,1
2025-12-16 20:20:00,278.1,164.15,2.2,25.0,76.0,25.28000000000004,25.90700000000001,7.456746594659213,1
2025-12-16 20:30:00,285.2,157.7,2.0,24.88888888888889,70.44444444444444,25.147000000000027,25.47800000000003,7.476683320670292,1
2025-12-16 20:40:00,288.1,151.45,2.05,25.0,79.91666666666667,25.08500000000004,25.54100000000003,7.473805855060446,1
2025-12-16 20:50:00,285.85,151.8,2.05,25.0,75.38461538461539,25.105000000000025,25.529000000000032,7.46496792497306,1
2025-12-16 21:00:00,294.9,147.65,2.05,25.0,78.64285714285714,25.05333333333337,25.68555555555558,7.453252529275828,1
2025-12-16 21:10:00,296.95,149.5,2.1,25.0,81.21428571428571,25.04176470588239,25.77352941176474,7.452430396244444,1
2025-12-16 21:20:00,278.9,50.6,1.9,25.90909090909091,68.18181818181819,25.450000000000024,26.77333333333337,7.454280195565059,0
2025-12-16 21:30:00,274.8,146.75,2.05,26.0,66.4375,25.647777777777808,27.135555555555595,7.462090459363214,1
2025-12-16 21:40:00,292.65,156.4,2.2,25.09090909090909,71.45454545454545,25.09500000000003,25.541000000000025,7.476888853928139,1
2025-12-16 21:50:00,302.7,154.3,2.05,25.90909090909091,83.45454545454545,25.277000000000022,26.327000000000016,7.449347397376751,1
2025-12-16 22:00:00,297.15,154.8,2.05,25.08333333333333,82.58333333333333,25.22100000000004,25.94800000000003,7.457774260948444,1
2025-12-16 22:10:00,299.55,171.2,2.05,25.88888888888889,79.44444444444444,25.195882352941204,25.85352941176473,7.452203227906824,1
2025-12-16 22:20:00,309.8,151.95,2.05,25.08333333333333,75.33333333333333,25.35631578947371,26.204736842105305,7.463529192168137,1
2025-12-16 22:30:00,357.95,151.05,2.05,25.0,73.57142857142857,25.20500000000004,25.49600000000004,7.467228790809369,1
2025-12-16 22:40:00,325.55,150.45,2.0,25.0,81.0,25.18444444444448,26.16555555555558,7.454280195565059,1
2025-12-16 22:50:00,323.8,150.35,2.5,25.0,79.0,25.24894736842107,26.03000000000003,7.455718928369983,1
2025-12-16 23:00:00,303.7,50.1,1.95,25.928571428571427,77.14285714285714,25.444000000000013,26.942000000000025,7.442564799867827,0
2025-12-16 23:10:00,300.45,49.7,2.1,26.8,75.4,25.89666666666669,27.707777777777817,7.437632001679519,0
2025-12-16 23:20:00,296.95,50.2,1.9,27.0,75.0,26.05235294117649,28.011176470588275,7.436625970470062,0
2025-12-16 23:30:00,303.1,50.05,1.95,27.0,75.0,26.097000000000023,28.14300000000004,7.436809868648134,0
2025-12-16 23:40:00,300.1,49.85,1.85,27.0,75.0,26.269000000000023,28.248000000000044,7.42735533878721,0
2025-12-16 23:50:00,299.95,50.2,2.0,27.0,75.0,26.325789473684235,28.430000000000025,7.428177471818596,0
2025-12-17 00:00:00,297.0,50.25,2.0,27.0,75.0,26.43666666666668,28.534444444444475,7.428383005076442,0
2025-12-17 00:10:00,295.1,50.15,1.9,27.0,76.0,26.3963157894737,28.45315789473688,7.423039140372441,0
2025-12-17 00:20:00,291.75,50.05,1.9,27.0,76.0,26.46111111111113,28.490000000000023,7.422628073856749,0
2025-12-17 00:30:00,287.65,49.8,2.0,27.0,76.0,26.466666666666683,28.548888888888914,7.41933954173121,0
2025-12-17 00:40:00,289.65,50.2,1.9,27.0,76.0,26.56500000000002,28.70200000000004,7.422217007341056,0
2025-12-17 00:50:00,289.35,50.15,1.95,27.0,76.0,26.49300000000002,28.70000000000004,7.417284209152748,0
2025-12-17 01:00:00,288.15,50.1,1.95,27.0,76.0,26.60500000000002,28.71800000000003,7.429821737881364,0
2025-12-17 01:10:00,286.8,50.05,2.0,27.0,76.7,26.670000000000027,28.73600000000004,7.424888939693056,0
2025-12-17 01:20:00,283.9,50.05,2.0,27.5,77.375,26.57714285714288,28.767142857142897,7.422422540598902,0
2025-12-17 01:30:00,281.35,50.15,2.0,27.7,77.6,26.550000000000026,28.772222222222258,7.420161674762594,0
2025-12-17 01:40:00,281.6,49.9,1.9,27.454545454545453,77.45454545454545,26.557500000000022,28.77125000000004,7.4337268697804415,0
2025-12-17 01:50:00,281.6,49.9,2.0,27.0,77.0,26.626842105263183,28.73947368421057,7.423861273403825,0
2025-12-17 10:10:00,233.2,61.1,2.0,25.666666666666668,51.55555555555556,25.72800000000004,26.858000000000025,7.496003446907832,0
2025-12-17 10:20:00,221.1,75.05,1.9,25.07692307692308,47.30769230769231,25.19823529411768,26.12411764705886,7.483141391982617,0
2025-12-17 10:30:00,221.2,68.2,1.95,24.0,52.11111111111112,24.90894736842108,25.42052631578949,7.506691176315834,0
2025-12-17 10:40:00,224.05,73.85,2.0,24.0,49.27272727272727,24.75000000000004,25.6777777777778,7.49456471410291,0
2025-12-17 10:50:00,227.7,75.8,2.0,24.0,54.333333333333336,24.626666666666708,25.34000000000003,7.483465918179216,0
2025-12-17 11:00:00,237.95,196.2,2.25,24.0,61.18181818181818,24.62500000000004,25.47100000000004,7.479355253022293,1
2025-12-17 11:10:00,331.85,252.3,2.9,25.307692307692307,69.3076923076923,25.002222222222247,26.38444444444448,7.48593231727337,1
2025-12-17 11:20:00,325.95,85.8,2.0,25.846153846153847,67.3076923076923,25.14900000000003,26.63600000000004,7.458801927237675,1
2025-12-17 11:30:00,310.8,78.3,1.9,25.11111111111111,63.44444444444444,25.20600000000003,26.873000000000022,7.460446193300444,0
2025-12-17 11:40:00,289.05,60.85,2.0,25.27272727272728,60.45454545454545,25.343000000000018,27.053000000000026,7.463529192168137,0
